title,text
Cleveland Browns relocation controversy,"The Cleveland Browns relocation controversy, sometimes referred to by fans as ""The Move"", was the decision by then-Browns owner Art Modell to relocate the National Football League (NFL)'s Cleveland Browns from its long-time home of Cleveland to Baltimore during the 1995 NFL season.  Subsequent legal actions by the city of Cleveland and Browns season ticket holders led the NFL to broker a compromise that saw the Browns history, records, and intellectual property remain in Cleveland.  In return, Modell was permitted to move his football organization to Baltimore where he established the Baltimore Ravens.  The Ravens are officially regarded by the NFL as an expansion team that began play in .  The city of Cleveland agreed to demolish Cleveland Stadium and build a new stadium on the same site, and the NFL agreed to reactivate the Browns by the 1999 season through either an expansion draft or a relocated franchise.  The Browns were officially reactivated in 1998 through the expansion process and resumed play in 1999."
2016 Cleveland Browns season,"The 2016 Cleveland Browns season was the franchise's 68th season as a professional sports franchise, its 64th as a member of the National Football League and its first under head coach Hue Jackson and de facto general manager Sashi Brown.  The Browns failed to improve upon their 3–13 record from their previous season, finishing 1–15, their worst record in franchise history.  They started the season 0–14, their worst 14-game start in franchise history, and in so doing, clinched a losing record for a franchise record ninth straight season, failed to make the playoffs for a franchise record 14th straight season, finished in fourth place in the AFC North for the sixth straight season, went 0–6 within the division, failed to win a road game in a season for only the second time in franchise history (first occurred during the 1975 season), and set a franchise record for most consecutive losses, losing 17 straight games going back to their final three games of the previous season.  They also extended their road losing streak to 13 games, a streak that began in Week 7 of the 2015 season, when they lost their final five road games.  The Browns were also the first team to start 0–14 since the Detroit Lions went winless during 2008, the first team to finish with a 1–15 record since 2009, and only the 10th team in NFL history to finish with 15 losses.  The Browns' lone victory was a 20–17 win over the San Diego Chargers in Week 16."
Detroit Lions Television Network,"The Detroit Lions Television Network is a network of seven television stations (and one cable/satellite channel) in Michigan and Ohio that broadcast the NFL's Detroit Lions preseason games and related coverage.  On May 21, 2015, the Detroit Lions announced a multi-year broadcast partnership with WJBK (Fox 2) and Fox Sports Detroit.  Fox Sports Detroit produces the preseason game broadcasts with Fox 2 producing the pre-game and post-game segments.  The games air live on Fox 2 and the rest of the Detroit Lions Television Network, with re-airings on Fox Sports Detroit.  The wrap around shows' hosts are Dan Miller, Herman Moore, Jamie Samuelsen, Jennifer Hammond, and Woody Woodriffe.  The game announcers are Matt Shepard with play-by-play, Chris Spielman with color commentary, and Jennifer Hammond with sideline reports.  The network also airs a live regular season pre-game show called ""Lions Game Day Live"", while Fox Sports Detroit has a live regular season post-game show called ""Lions Live""."
1982 Detroit Lions season,"The 1982 Detroit Lions season was the 53rd season in franchise history.  An NFL players strike shortened the regular season to nine games.  The Lions qualified for their first postseason appearance since 1970.  The NFL changed the playoff format due to the strike.  The Lions became one of only four teams to ever qualify for the playoffs despite having a losing record.  The Lions and the 1982 Cleveland Browns are the only two teams with a losing record to qualify as wildcards.  In 2010, the Seattle Seahawks became the third team with a losing record to qualify for the playoffs and the first team to win a division title with a losing record (however, the Seahawks accomplished the former in a full-length season).  The Lions lost to the Washington Redskins at RFK Stadium in the first round of the playoffs."
2008 Cleveland Browns season,"The 2008 Cleveland Browns season was the team's 60th season as a professional sports franchise and its 56th season as a member of the National Football League (NFL).  The Browns finished with a 4–12 record and failed to qualify for the playoffs.  The season marked Romeo Crennel's fourth (and what would be final) year as head coach of the Browns.  Cleveland played all of their home games at Cleveland Browns Stadium in Cleveland, Ohio.  In the 2008 season, the Browns failed to score a touchdown for 24 consecutive quarters.  Also from 2008 to present, the Browns have failed to obtain a winning record, thus they failed to make the playoffs for the seventh straight season."
Clayton Beauford,"Clayton Maurice Beauford (born March 1, 1963) is a former professional American football player who played wide receiver in 1987 for the Cleveland Browns.  Beauford graduated from Palatka High School in Palatka, Florida in 1981.  He played college football for Auburn University from 1981 to 1984.  In October 1982, he scored a touchdown on a 60-yard pass play against Georgia Tech.  In 1984, he was the subject of an investigation in which it was alleged that his high school records had been altered to allow him to attend Auburn on a football scholarship.  The principal, assistant principal, a masonry teacher and another person at the high school were later charged with official misconduct, filing false reports, or perjury in the matter.  Beauford was drafted by the Detroit Lions but spent the 1985 season on the injury list after sustaining a broken kneecap in the 1985 Senior Bowl.  He was released by the Lions in August 1986.  Beauford also played in the USFL for the Birmingham Stallions.  In 1987, he played for the Cleveland Browns, appearing in only one game with a kick return of 22 yards."
2008 Detroit Lions season,"The 2008 Detroit Lions season was the 79th season for the franchise in the National Football League.  The Lions entered their third season under head coach Rod Marinelli and were looking to improve on the 7–9 record they put together in 2007.  Instead, the Lions had one of the worst seasons in pro sports history.  The team lost all sixteen of their games in 2008, becoming the first team since the 1976 Tampa Bay Buccaneers to end an NFL season with no wins and no tied games as well as the first and only team to do it since the schedule was expanded to sixteen games.  The Lions were mathematically eliminated from the playoffs by Week 11, when they stood 0–10.  The team's victory over the Kansas City Chiefs in Week 16 of 2007 stood as their last until Week 3 of the 2009 season.  From the time the Lions recorded a win over the Denver Broncos in 2007 to reach 6–2, the team went 5–47 over their following 52 games (including all of 2008 and 2009) before winning four games in a row at the end of the 2010 season.  As of 2017, this is the only team in NFL history to finish a season with a 0–16 record.  The 2016 Cleveland Browns and the 2009 St. Louis Rams came close to 0–16, both going 1–15."
All the Light We Cannot See,"All the Light We Cannot See is a novel written by American author Anthony Doerr, published by Scribner on May 6, 2014.  It won the 2015 Pulitzer Prize for Fiction and the 2015 Andrew Carnegie Medal for Excellence in Fiction."
Milton Lott,"Milton Lott (1916 – 1996) was an author of western novels.  He grew up in the Snake River Valley, in Idaho and attended University of California, Berkeley.  While there he started writing his first published novel, ""The Last Hunt"".  He worked on the novel while attending an English class taught by George R. Stewart, himself a well published author.  Lott received a citation from the National Institute of Letters and Arts for ""The Last Hunt"", and was granted a Literacy Fellowship Award by Houghton Mifflin to finish the book.  ""The Last Hunt"" was selected by the Pulitzer fiction jury for the 1955 Pulitzer Prize, but John Hohenberg convinced the Pulitzer board that William Faulkner was long overdue for the award, despite his submitted novel ""A Fable"" being a lesser work of his, and the board overrode the jury's selection, much to the disgust of its members.  ""The Last Hunt"" was made into a 1957 movie."
Robert Penn Warren,"Robert Penn Warren (April 24, 1905 – September 15, 1989) was an American poet, novelist, and literary critic and was one of the founders of New Criticism.  He was also a charter member of the Fellowship of Southern Writers.  He founded the literary journal ""The Southern Review"" with Cleanth Brooks in 1935.  He received the 1947 Pulitzer Prize for the Novel for his novel ""All the King's Men"" (1946) and the Pulitzer Prize for Poetry in 1958 and 1979.  He is the only person to have won Pulitzer Prizes for both fiction and poetry."
Smartish Pace,"Smartish Pace is a non-profit, independent literary journal based in Baltimore, Maryland, USA.  ""Smartish Pace"" was founded in 1999 by Stephen Reichert who was a University of Maryland School of Law student at the time.  The name, ""Smartish Pace"", originates from a tort case in which a horse carriage, which was travelling at a smartish pace, ran over and killed a donkey.  ""Smartish Pace"" has published poems by the following Pulitzer Prize winners: Natasha Trethewey, Claudia Emerson, Ted Kooser, Paul Muldoon, Yusef Komunyakaa, Carl Dennis, Stephen Dunn, Henry Taylor, Mary Oliver, Maxine Kumin, and Anthony Hecht.  When referencing places Pulitzer Prize winner Claudia Emerson had published, ""Newsweek"" called the journal ""obscure""."
Lexington Herald-Leader,"The Lexington Herald-Leader is a newspaper owned by The McClatchy Company and based in the U.S. city of Lexington, Kentucky.  According to the ""1999 Editor & Publisher International Yearbook"", the ""Herald-Leader""'s paid circulation is the second largest in the Commonwealth of Kentucky.  The newspaper has won the 1986 Pulitzer Prize for Investigative Reporting, the 1992 Pulitzer Prize for Editorial Writing and the 2000 Pulitzer Prize for Editorial Cartooning.  It had also been a finalist in six other Pulitzer awards in the 22-year period up until its sale in 2006, a record that was unsurpassed by any mid-sized newspaper in the United States during the same time frame."
Anthony Doerr,"Anthony Doerr (born October 27, 1973) is an American author of novels and short stories.  He gained widespread recognition for his 2014 novel ""All the Light We Cannot See"", which won the Pulitzer Prize for Fiction."
Larry C. Price,"Larry C. Price (born February 23, 1954) is an American photojournalist who has won two Pulitzer Prizes.  In 1981 he won the Pulitzer Prize in Spot News Photography, recognizing images from Liberia published by the Fort Worth ""Star-Telegram"".  In 1985 he won the Pulitzer Prize for Feature Photography for images from war-torn Angola and El Salvador published by ""The Philadelphia Inquirer""."
Norman Mailer,"Norman Kingsley Mailer (January 31, 1923 – November 10, 2007) was an American novelist, journalist, essayist, playwright, film-maker, actor, and political activist.  His novel ""The Naked and the Dead"" was published in 1948 and brought him renown.  His best-known work is widely considered to be ""The Executioner's Song"" (1979) winner of the Pulitzer Prize for fiction. "" Armies of the Night"" won the Pulitzer Prize for non-fiction and the National Book Award."
Pulitzer Prize for Fiction,"The Pulitzer Prize for Fiction is one of the seven American Pulitzer Prizes that are annually awarded for Letters, Drama, and Music.  It recognizes distinguished fiction by an American author, preferably dealing with American life, published during the preceding calendar year.  As the Pulitzer Prize for the Novel, it was one of the original Pulitzers; the program was inaugurated in 1917 with seven prizes, four of which were awarded that year.  (No Novel prize was awarded in 1917; the first was awarded in 1918.)"
2012 Pulitzer Prize,"The 2012 Pulitzer Prizes were awarded on April 16, 2012 by the Pulitzer Prize Board for work during the 2011 calendar year.  The deadline for submitting entries was January 25, 2012.  For the first time, all entries for journalism were required to be submitted electronically.  In addition, the criteria for the Pulitzer Prize for Local Reporting has been revised to focus on real-time reporting of breaking news.  For the eleventh time in Pulitzer's history (and the first since 1977), no book received the Fiction Prize."
Puppet Strings,"Puppet Strings is the fifth studio album by American rock band Fuel.  Released March 4, 2014, it is their first studio effort since 2003's ""Natural Selection"" to feature original lead singer Brett Scallions and the first Fuel album not to feature original songwriter/guitarist, Carl Bell and bassist Jeff Abercrombie.  Additionally, no one who participated in the recording of Fuel's previous album ""Angels & Devils"" participated in the recording of ""Puppet Strings""."
Yeah! (Fuel song),"""Yeah!""  is the first song released from Fuel's album ""Puppet Strings"".  It is also the first song released featuring original lead singer Brett Scallions since Fuel's 2003 studio album ""Natural Selection""."
The Best of Fuel,"The Best of Fuel is a compilation album by American hard rock band Fuel.  It contains songs from their first three full-length albums, ""Sunburn"", ""Something Like Human"", and ""Natural Selection"".  All of the said albums featured vocalist Brett Scallions who departed from the group only a few months after the compilation's release.  ""The Best of Fuel"" consists solely of the band's released singles, with the exception of ""Million Miles"" from ""Natural Selection"" (it features ""Quarter"" from the same album instead)."
Circus Diablo,"Circus Diablo is an American rock band, formed in early 2006 by Billy Morrison (vocals), Billy Duffy (lead guitar) and Ricky Warwick (rhythm guitar).  Fuel frontman Brett Scallions and Velvet Revolver drummer Matt Sorum subsequently joined the band on bass and drums, respectively.  To date, Circus Diablo have released one studio album, entitled ""Circus Diablo""."
Celebration (Madonna song),"""Celebration"" is a song recorded by American singer and songwriter Madonna for her third greatest hits album of the same name (2009).  It was written and produced by Madonna, Paul Oakenfold and Ian Green, with additional writing from Ciaran Gribbin.  The song was released digitally on July 31, 2009 by Warner Bros.  Records.  Madonna collaborated with Oakenfold to develop a number of songs.  Amongst all the songs developed by them, two were chosen for the greatest hits album with ""Celebration"" being released as the first single from it.  It is a dance-oriented song with influences of Madonna's singles from the 1980s and 1990s, and consisting of a speak-sing format bridge.  The lyrics of the song invites one to come and join a party."
Mind Control (Tantric album),"Mind Control is the fourth album by American post-grunge band Tantric and was released on August 4, 2009.  It is the band's second album under Silent Majority Group and was produced by Brett Hestla, marking Tantric's departure from mainstay producer Toby Wright.  ""Mind Control"" retains the band's 2008 lineup with the exception of drummer Kevin Miller who was replaced by Richie Monica."
Ciaran Gribbin,"Ciaran Gribbin (born 1976) is a Northern Irish singer-songwriter, guitarist and producer who hails from Castledawson, Northern Ireland."
Angels &amp; Devils (Fuel album),"Angels & Devils is the fourth studio album by American rock band Fuel.  Released on August 7, 2007, it was their first studio effort since 2003's ""Natural Selection"" and was the last Fuel album to feature original songwriter/guitarist, Carl Bell and bassist Jeff Abercrombie.  No musician on this album is still with the band.  It was also Fuel's only studio album to feature new vocalist Toryn Green, and their final album for Epic Records.  With a new singer, the album also introduced a new Fuel logo."
Soul to Preach To,"""Soul to Preach To"" is the first single released from Fuel's album ""Puppet Strings"".  It is also the first single released featuring original lead singer Brett Scallions since Fuel's 2003 studio album ""Natural Selection""."
Bear Island (Antarctica),"Bear Island or Isla Teniente González is a rocky island lying 1 nmi west of Stonington Island in Marguerite Bay, off the coast of Graham Land.  Bear Island was presumably known to the British Graham Land Expedition (BGLE) (1934-1937) and the United States Antarctic Service (USAS) Expedition (1939-1941), both based in the Stonington Island area.  Bear Island was surveyed in 1947 by the Falkland Islands Dependencies Survey (FIDS), who named it for the USS Bear, flagship of the United States Antarctic Service (USAS) Expedition which visited this area in 1940."
Richard E. Byrd,"Rear Admiral Richard Evelyn Byrd Jr., USN (October 25, 1888 – March 11, 1957) was an American naval officer who specialized in feats of exploration.  He was a recipient of the Medal of Honor, the highest honor for valor given by the United States, and was a pioneering American aviator, polar explorer, and organizer of polar logistics.  Aircraft flights in which he served as a navigator and expedition leader crossed the Atlantic Ocean, a segment of the Arctic Ocean, and a segment of the Antarctic Plateau.  Byrd claimed that his expeditions had been the first to reach both the North Pole and the South Pole by air.  However, his claim to have reached the North Pole is disputed."
Maury Glacier,"Maury Glacier is a glacier 4 nmi wide, flowing in an east-northeast direction to the southwest corner of Violante Inlet, on the east coast of Palmer Land, Antarctica.  It was discovered and photographed from the air in December 1940 by members of the United States Antarctic Service.  During 1947 the glacier was photographed from the air by the Ronne Antarctic Research Expedition, who in conjunction with the Falkland Islands Dependencies Survey (FIDS) charted it from the ground.  It was named by the FIDS for Matthew F. Maury, an American naval officer and hydrographer who was a distinguished promoter of maritime research and Antarctic exploration."
Lewis Bluff,"Lewis Bluff ( ) is a rock bluff located at the confluence of Paschal Glacier and White Glacier, 7 nmi southeast of Mount McCoy, in coastal Marie Byrd Land.  The bluff was photographed from aircraft of the United States Antarctic Service, 1939–41, and was mapped in detail by the United States Geological Survey, 1959–65.  It was named by the Advisory Committee on Antarctic Names for David L. Lewis, a United States Antarctic Research Program ionospheric physicist at Byrd Station, 1963."
Erb Range,"The Erb Range ( ) is a rugged mountain range rising to 2240 m between Kosco Glacier and Shackleton Glacier in the Queen Maud Mountains, and extending north from Anderson Heights to Mount Speed on the west side of the Ross Ice Shelf.  The range was photographed from aircraft of the United States Antarctic Service Expedition, 1939–41, and surveyed by A.P. Crary, leader of the U.S. Ross Ice Shelf Traverse, 1957–58.  Named by the Advisory Committee on Antarctic Names in 2008 after Karl A. Erb who played a major role in guiding the United States Antarctic Program as both the NSF Senior Science Advisor in the mid 1990s and subsequently as Director of the Office of Polar Programs from 1998 until 2007 and beyond.  During his tenure as the Senior Science Advisor, he helped to guide NSF through the process of justifying and then securing Congressional funding for the redevelopment of the South Pole Station."
Reichle Mesa,"Reichle Mesa ( ) is an ice-covered tableland, 3 nautical miles (6 km) in extent and rising to 1,160 m, between Stubbs Pass and Getman Ice Piedmont on Joerg Peninsula, Bowman Coast.  The feature was photographed from the air by the United States Antarctic Service (USAS), 1940, Ronne Antarctic Research Expedition (RARE), 1947, and U.S. Navy, 1966, and was surveyed by Falkland Islands Dependencies Survey (FIDS), 1946-48.  Named by Advisory Committee on Antarctic Names (US-ACAN) in 1977 after Richard A. Reichle, United States Antarctic Research Program (USARP) biologist, specialist on Antarctic seals in six austral summers, 1970–77, the last two summers in RV Islands."
Coor Crags,"The Coor Crags ( ) are several rock crags standing 3.5 nmi southeast of Cox Point in the northern part of the Erickson Bluffs, near the coast of Marie Byrd Land.  The feature was first observed and photographed from aircraft of the United States Antarctic Service, 1939–41, and mapped by the United States Geological Survey from surveys and from U.S. Navy air photos, 1959–65.  The crags were named by the Advisory Committee on Antarctic Names for Lieutenant Commander Lawrence W. Coor, U.S. Navy, pilot of LC-130 Hercules aircraft during Operation Deep Freeze 1970 and 1971."
Cox Point,"Cox Point ( ) is a rock headland at the southwest side of the terminus of Garfield Glacier where the latter discharges into Hull Bay, on the coast of Marie Byrd Land.  The point was first observed and photographed from aircraft of the United States Antarctic Service, 1939–41, led by Admiral Richard E. Byrd.  It was named by the Advisory Committee on Antarctic Names for E.F. Cox, a carpenter of the Byrd Antarctic Expedition, 1933–35."
United States Antarctic Program,"The United States Antarctic Program (or USAP; formerly known as the United States Antarctic Research Program or USARP and the United States Antarctic Service or USAS) is an organization of the United States government which has presence in the continent of Antarctica.  Founded in 1959, the USAP manages all U.S. scientific research and related logistics in Antarctica as well as aboard ships in the Southern Ocean."
Wells Saddle,"Wells Saddle ( ) is a broad snow-filled saddle between Mount Berlin and Mount Moulton in the Flood Range of Marie Byrd Land.  The saddle was photographed from aircraft of the United States Antarctic Service (USAS) in December 1940.  It was mapped by United States Geological Survey (USGS) from ground surveys and U.S. Navy air photos, 1959-66.  Named by Advisory Committee on Antarctic Names (US-ACAN) for James H. Wells, a member of the United States Antarctic Research Program (USARP) team that studied ice sheet dynamics in the area northeast of Byrd Station, 1971-72."
Siberian roe deer,"The Siberian roe deer or eastern roe deer (""Capreolus pygargus"") is a species of roe deer found in northeastern Asia.  In addition to Siberia and Mongolia, it is found in Kazakhstan, the Tian Shan Mountains of Kyrgyzstan, eastern Tibet, the Korean Peninsula, and northeastern China (Manchuria)."
Whitetail Deer Cutaneous Fibroma,"Cutaneous fibromas are frequently occurring neoplasms naturally occurring virus of white-tailed deer (""Odocoileus virginianus"").  Deer fibromas appear on the skin as hard and round tumors that can be as big as 1 cm in diameter.  The tumors are blackish or brown and have a rough textured surface.  They do not cause the animal harm unless clumps of fibromas interfere with breathing, eating, or walking.  ""Fibromas have been reported in white-tailed deer (""Odocoileus virginianus""), mule deer (""Odocoileus hemionus""), black-tailed deer (""Odocoileus hemionus""), fallow deer (""Cervus dama""), red deer (""Cervus elaphus""), roe deer (""Capreolus capreolus""), Sika deer (""Cervus nippon""), moose (Alces alces) and caribou (""Rangifer caribou"").""  Other common names for fibromas are deer warts or Shope’s warts/fibroma.  They are found across the entirety of the whitetail's range."
Roe deer,"The European roe deer (""Capreolus capreolus""), also known as the western roe deer, ""chevreuil"", or simply roe deer or roe, is a Eurasian species of deer.  The male of the species is sometimes referred to as a roebuck.  The roe deer is relatively small, reddish and grey-brown, and well-adapted to cold environments.  The species is widespread in Europe, from the Mediterranean to Scandinavia and from Britain to the Caucasus and east to northern Iran and Iraq.  It is distinct from the somewhat larger Siberian roe deer."
"Bambi, a Life in the Woods","Bambi, a Life in the Woods, originally published in Austria as Bambi: Eine Lebensgeschichte aus dem Walde is a 1923 Austrian novel written by Felix Salten and published by Ullstein Verlag.  The novel traces the life of Bambi, a male roe deer, from his birth through childhood, the loss of his mother, the finding of a mate, the lessons he learns from his father and experience about the dangers posed by human hunters in the forest."
5.6×57mm,"The 5.6×57mm cartridge was created by RWS in Germany for hunting small deer such as roe deer, and for chamois.  The calibre has a significant following among European sportsmen, and most European mass production riflemakers chamber several models of rifle for this cartridge.  During the 1970-1990 period this cartridge was widely and successfully used in the Republic of Ireland for deer shooting, since security considerations at a period of Provisional Irish Republican Army violence had led to a ban on the civilian ownership of calibres larger than .224in.  Some British small deer specialist hunters use the 5.6×57mm with great success on roe deer, muntjac and Chinese water deer."
Roe Green Park,"Roe Green Park is a park in the London Borough of Brent, northwest London, England.  Its name may come from the Roe Deer that used to roam the area until the Medieval period at Roe Green House, on the site now occupied by Roe Green Village.  The Barn Hill Conservation Group maintain the Roe Green walled garden that is within the park.  Roe Green Village was built between 1918 and 1920, using Prussian/German prisoners of war as cheap labour after World War I.  The park was incorporated and thus taken under council control between 1935 and 1938."
Epizootic hemorrhagic disease,"Epizootic hemorrhagic disease (EHD) is a hemorrhagic disease of white-tailed deer (""Odocoileus virginianus"") caused by an infection of a virus from the genus ""Orbivirus"" (Shope et al. 1960, Howarth et al. 2001).  It is an infectious, and sometimes fatal, virus that is characterized by extensive hemorrhages, and is found throughout the United States.  It is important for deer hunters, farmers, farm property owners, and livestock owners to have knowledge about EHD because of the seriousness of this disease, its ability to cause large scale outbreaks in wild ruminants, and its ability to affect livestock and the production industry.  Epizootic hemorrhagic disease has been found in some domestic ruminants and many species of deer including white-tailed deer, mule deer, and pronghorn antelope.  Seropositive black-tailed deer, fallow deer, red deer, wapiti, and roe deer have also been found, which essentially means that they were exposed to the disease at some time in the past, but may not be involved in transmission.  Outbreaks of EHD have been reported in cattle although it is rare for them to develop disease or die.  Sheep may develop clinical signs; however, this is also rare (Howarth et al. 2001)."
Deer of Great Britain,"There are six types of deer living wild in Great Britain: the Scottish red deer, roe deer, fallow deer, sika deer, Reeves's muntjac, and the Chinese water deer.  Of those, Scottish red and roe deer are native and have lived in the isles throughout the Holocene.  Fallow deer have been reintroduced twice, by the Romans and the Normans, after it died out in the last ice age.  The other three are escaped or released alien species."
Felix Salten,"Felix Salten (6 September 1869 – 8 October 1945) was an Austrian author and critic in Vienna.  His most famous work is ""Bambi, a Life in the Woods"" (1923)."
Deer,"Deer (singular and plural) are the ruminant mammals forming the family Cervidae.  The two main groups are the Cervinae, including the muntjac, the fallow deer and the chital, and the Capreolinae, including the elk, reindeer (caribou), the Western roe deer, and the moose.  Female reindeer, and male deer of all species (except the Chinese water deer), grow and shed new antlers each year.  In this they differ from permanently horned antelope, which are in the same order, Artiodactyla."
Clean Oceans International,"Clean Oceans International, originally The Clean Oceans Project, is an ocean-oriented environmental organization founded in 2009 as an IRS 501c3 public benefit corporation.  Clean Oceans International seeks to reduce plastic pollution in the oceans through a comprehensive global approach that includes research, technical innovation, public awareness, and efficient plastic waste management."
Antarctic bottom water,"The Antarctic bottom water (AABW) is a type of water mass in the Southern Ocean surrounding Antarctica with temperatures ranging from −0.8 to 2 °C (35 °F), salinities from 34.6 to 34.7 psu.  Being the densest water mass of the oceans, AABW is found to occupy the depth range below 4000 m of all ocean basins that have a connection to the Southern Ocean at that level.  The major significance of Antarctic bottom water is that it is the coldest bottom water, giving it a significant influence on the movement of the world's oceans.  Antarctic bottom water also has a high oxygen content relative to the rest of the oceans' deep waters.  This is due to the oxidation of deteriorating organic content in the rest of the deep oceans.  Antarctic bottom water has thus been considered the ""ventilation of the deep ocean."""
JPI Oceans,The Joint Programming Initiative Healthy and Productive Seas and Oceans (JPI Oceans) is an intergovernmental initiative to enable cooperation in marine and maritime research.  The initiative was launched as one of ten Joint Programming Initiatives by the Council of the European Union in 2011.  JPI Oceans currently has a membership of 21 countries.  The member countries of JPI Oceans collectively decide which areas of research would benefit from international collaboration and participate on a voluntary basis.
Crocosphaera watsonii,"Crocosphaera watsonii (strain WH8501) is an isolate of a species of unicellular (2.5-6 µm diameter), diazotrophic marine cyanobacteria which represent less than 0.1% of the marine microbial population.  They thrive in offshore, open-ocean oligotrophic regions where the waters are warmer than 24 degrees Celsius.  ""Crocosphaera watsonii"" cell density can exceed 1,000 cells per milliliter within the euphotic zone; however, their growth may be limited by the concentration of phosphorus.  ""Crocosphaera watsonii"" are able to contribute to the oceanic carbon and nitrogen budgets in tropical oceans due to their size, abundance, and rapid growth rate.  ""Crocosphaera watsonii"" are unicellular nitrogen fixers that fix atmospheric nitrogen to ammonia during the night and contribute to new nitrogen in the oceans.  They are a major source of nitrogen to open-ocean systems.  Nitrogen fixation is important in the oceans as it not only allows phytoplankton to continue growing when nitrogen and ammonium are in very low supply but it also replenishes other forms of nitrogen, thus fertilizing the ocean and allowing more phytoplankton growth."
The Moon-Spinners,"The Moon-Spinners is a 1964 American Walt Disney Productions feature film starring Hayley Mills, Eli Wallach and Peter McEnery in a story about a jewel thief hiding on the island of Crete.  The film was based upon a 1962 suspense novel by Mary Stewart and was directed by James Neilson.  ""The Moon-Spinners"" was Mills' fifth of six films for Disney, and featured the legendary silent film actress Pola Negri in her final screen performance."
World Oceans Day,"World Oceans Day takes place every June 8.  It has been celebrated unofficially since its original proposal in 1992 by Canada's International Centre for Ocean Development (ICOD) and the Ocean Institute of Canada (OIC) at the Earth Summit - UN Conference on Environment and Development (UNCED) in Rio de Janeiro, Brazil.  The Brundtland Commission, i.e. the World Commission on Environment and Development, provided the inspiration for a global oceans day.  The 1987 Brundtland Report noted that the ocean sector lacked a strong voice compared to other sectors.  At the first world Oceans Day in 1992, the objectives were to move the oceans from the sidelines to the centre of the intergovernmental and NGO discussions and policy and to strengthen the voice of ocean and coastal constituencies world wide."
Tidal force,"The tidal force is a force that is the secondary effect of the force of gravity; it is responsible for the phenomenon of tides.  It arises because the gravitational force exerted by one body on another is not constant across it: the nearest side is attracted more strongly than the farthest side.  Thus, the tidal force is differential.  Consider the gravitational attraction of the Moon on the oceans nearest to the Moon, the solid Earth and the oceans farthest from the Moon.  There is a mutual attraction between the Moon and the solid Earth, which can be considered to act on its centre of mass.  However, the near oceans are more strongly attracted and, especially since they are fluid, they approach the Moon slightly, causing a high tide.  The far oceans are attracted less.  The attraction on the far-side oceans could be expected to cause a low tide, but since the solid Earth is attracted (accelerated) more strongly towards the moon, there is a ""relative"" acceleration of those waters in the outwards direction.  Viewing the Earth as a whole, we see that all its mass experiences a mutual attraction with that of the Moon, but the near oceans more so than the far oceans, leading to a separation of the two."
Oceans (film),"Oceans (French: Océans ) is a 2009 French nature documentary film directed, produced, co-written, and narrated by Jacques Perrin, with Jacques Cluzaud as co-director.  The film explores the marine species of Earth's five oceans and reflects on the negative aspects of human activity on the environment, with Perrin (Pierce Brosnan in English) providing narration."
Living Oceans Society,"Living Oceans Society is a Canadian environmental organization that has been a leader in the effort to protect Canada’s oceans since 1998.  It is based in Sointula, British Columbia, with a satellite office in Vancouver, British Columbia.  Living Oceans Society's vision is: ""Canada's oceans are sustainably managed and thriving with abundant sea life that supports vibrant and resilient communities."""
Stuart Beck,"Stuart Jay Beck (December 23, 1946 – February 29, 2016) was an American law practitioner and a diplomat for Palau.  As a lawyer he helped negotiate the Compact of Free Association, which established Palau as an independent nation in free association with the United States in 1994.  For his contributions to Palau, he was granted honorary citizenship.  In 2003, he accepted the post for Palau's first Permanent Representative to the United Nations.  He served continuously in this position until 2013, at which time he was appointed as Palau’s first ever United Nations Ambassador for Oceans and Seas.  In addition to that position, Beck Co-Chaired [(with Amir Dossal) the Sustainable Oceans Alliance, an organization dedicated to the adoption by the General Assembly of a Sustainable Development Goal on Oceans."
Gundestrup cauldron,"The Gundestrup cauldron is a richly decorated silver vessel, thought to date from between 200 BC and 300 AD, or more narrowly between 150 BC and 1 BC.  This places it within the late La Tène period or early Roman Iron Age.  The cauldron is the largest known example of European Iron Age silver work (diameter: 69 cm ; height: 42 cm ).  It was found dismantled, with the other pieces stacked inside the base, in 1891 in a peat bog near the hamlet of Gundestrup in the Aars parish of Himmerland, Denmark ( ).  It is now usually on display in the National Museum of Denmark in Copenhagen, with replicas at other museums; during 2015-16 it was in the UK on a travelling exhibition called ""The Celts""."
Bronze- and Iron-Age Poland,"The Bronze and Iron Age cultures in Poland are known mainly from archeological research.  Early Bronze Age cultures in Poland begun around 2300–2400 BCE, while the Iron Age commenced in approximately 700–750 BCE.  The Iron Age archeological cultures no longer existed by the start of the Common Era.  The subject of the ethnicity and linguistic affiliation of the groups living in central and eastern Europe at that time is, given the absence of written records, speculative, and accordingly there is considerable disagreement.  In Poland the Lusatian culture, spanning both the Bronze and Iron Ages, became particularly prominent.  The most famous archeological finding from that period is the Biskupin fortified settlement (gord) on the lake from which it takes its name, representing the Lusatian culture of the early Iron Age."
Zierscheibe,"Zierscheibe (German for ""ornamental disk"") in archaeology is the term for a kind of metal jewellery dating to the European Iron Age.  They are found in women's graves and are thought to have been worn as pendants attached to the tunica, or as part of a belt pouch."
