id,title,text
5611,Mohsen Eslamzadeh,"Mohsen Eslamzadeh is an Iranian documentary filmmaker. He is the director of"" Alone Among The Taliban"". This film has won the best documentary award at the 44th Athens International Film and Video Festival in the United States. This film has won the best documentary award at the 12th Marbella International Film Festival in Spain. This film has won the Shahid Avini Award offers."
5612,Girls School Screamers,"Girls School Screamers is a 1986 horror film co-written and directed by John P. Finnegan. The plot follows a group of young college girls who are taken up to an abandoned mansion to help renovate it, only to later be dispatched one by one by an unseen assailant. The film was distributed by Troma Entertainment."
5613,Lucky Numbers,Lucky Numbers is a 2000 comedy film directed by Nora Ephron. The screenplay by Adam Resnick was inspired by the 1980 Pennsylvania Lottery scandal. It is the only film Ephron directed without also writing the screenplay.
5614,Grace Mary Linnel,"Grace Mary Linnel was a British born educationist and the founder principal of Welham Girls' School. She spent many years in India and was associated with educational institutions such as Government Mahbubia Girls ’ School, Hyderabad and Women's College, Hyderabad before joining with Hersille Susie Oliphant of Welham Boys' School to establish Welham Girls' School in 1957. She was honoured by the Government of India in 1971 with Padma Shri, the fourth highest Indian civilian award."
5615,John Finnegan (actor),"John P."" J.P."" Finnegan( August 18, 1926 – July 29, 2012) was an American film and television actor, mostly known for his recurrent role on the American crime fiction series"" Columbo"". He voiced the villainous character Warren T. Rat in the 1986 Don Bluth film"" An American Tail"". A friend of director/ actor John Cassavetes, Finnegan appeared in five of his films, including"" A Woman Under the Influence""( 1974),"" Gloria""( 1980) and"" Big Trouble""( 1986), which also starred"" Columbo"" star Peter Falk. He also appeared in"" Heroes""( 1977),"" The Natural""( 1984),"" School Spirit""( 1985),"" Big Man on Campus""( 1989) and"" Come See the Paradise""( 1990), and portrayed Judge Edward A. Haggerty in Oliver Stone's"" JFK""( 1991)."
5616,Thulasi (1987 film),"Thulasi is a 1987 Tamil romantic drama film directed by Ameerjan. The film features Murali and Seetha in lead roles. The film, produced by P. S. V. Hariharan, had musical score by Sampath Selvam and was released on 27 November 1987. The music director died before the release of the film."
5617,Nora Ephron,"Nora Ephron( May 19, 1941 – June 26, 2012) was an American journalist, writer, and filmmaker. She is best known for her romantic comedy films and was nominated three times for the Academy Award for Best Writing: for"" Silkwood""( 1983),"" When Harry Met Sally ...""( 1989), and"" Sleepless in Seattle""( 1993). She won a BAFTA Award for Best Original Screenplay for"" When Harry Met Sally ..."". She sometimes wrote with her sister Delia Ephron. Her last film was"" Julie& Julia""( 2009). Her first produced play,"" Imaginary Friends""( 2002), was honored as one of the ten best plays of the 2002 – 03 New York theatre season. She also co-authored the Drama Desk Award – winning theatrical production"" Love, Loss, and What I Wore"". In 2013, Ephron received a posthumous Tony Award nomination for Best Play for"" Lucky Guy""."
5618,Ravina (actress),"Ravina is an Indian actress who acted in Dhallywood movies. She acted in"" Praner Cheye Priyo"" which film is considered as turning point of the career of Riaz."
5619,Le Masque de la Méduse,"Le masque de la Méduse is a 2009 fantasy horror film directed by Jean Rollin. The film is a modern-day telling of the Greek mythological tale of the Gorgon and was inspired by the 1964 classic Hammer Horror film of the same name and the 1981 cult classic"" Clash of the Titans"". It was Rollin's final film, as the director died in 2010."
5620,Querelle,"Querelle is a 1982 West German- French English- language drama film directed by Rainer Werner Fassbinder and starring Brad Davis, adapted from French author Jean Genet's 1947 novel"" Querelle of Brest"". It marked Fassbinder's final film as a writer/ director; it was posthumously released just months after the director died of a drug overdose in June 1982."
5621,The Shadow of the Desert,The Shadow of the Desert( also released as The Shadow of the East) is a 1924 American silent horror film directed by George Archainbaud. The film is considered to be lost.
5622,La sombra del otro,"La sombra del otro("" The Shadow of the Other"") is a 1957 Mexican film. It was produced by Fernando de Fuentes."
5623,In the Shadow of the Raven,"In the Shadow of the Raven( Icelandic: Í skugga hrafnsins) is the title of a 1988 film by Hrafn Gunnlaugsson, set in Viking Age Iceland. The film was selected as the Icelandic entry for the Best Foreign Language Film at the 61st Academy Awards, but was not accepted as a nominee. "" In the Shadow of the Raven"" is the second film of the"" Raven Trilogy""( also known as the"" Viking Trilogy"") that consists of three' Viking' films:"
5624,James Tinling,"James Tinling( May 8, 1889 in Seattle – May 14, 1967 in Los Angeles) was an American film director. He worked during the silent period as a prop boy and stuntman, and directed primarily for 20th Century Fox in the 1930s and 1940s. He has been cited as one of the best B-film directors for Fox, known for directing numerous westerns and lighthearted films, including"" Charlie Chan in Shanghai""( 1935)."
5625,Soft Living,"Soft Living is a 1928 American silent comedy film directed by James Tinling and starring Madge Bellamy, Johnny Mack Brown and Mary Duncan."
5626,Michael Lennox,"Michael Lennox or Michael Carson Lennox is a Northern Irish film director, who was born and raised in County Antrim, Northern Ireland."
5627,Josephat Torner,"Josephat Torner is a Tanzanian albino activist. He has been featured in the documentary"" In the Shadow of the Sun""."
5628,The Shadow of Silk Lennox,The Shadow of Silk Lennox is a 1935 American gangster film directed by Ray Kirkwood and Jack Nelson. It starred Lon Chaney Jr before his breakthrough into horror films.
5629,The Shadow of the Eagle,"The Shadow of the Eagle( aka Shadow of the Eagle) is a 1932 American Pre- Code Mascot 12 episode film serial, directed by Ford Beebe and B. Reeves Eason and produced by Nat Levine. The film stars John Wayne in his first serial role. He would go on to star in two other serials for Mascot,"" The Hurricane Express""( 1932) and"" The Three Musketeers""( 1933). "" The Shadow of the Eagle"" is now in the public domain."
5630,Jack Nelson (actor),"Jack Nelson (October 15, 1882 – November 10, 1948) was an American actor and film director of the silent era. He appeared in 88 films between 1910 and 1935. He also directed 58 films between 1920 and 1935. He was born in Memphis, Tennessee and died in North Bay, Ontario, Canada. Upon arriving in North Bay, Nelson took over management of the Capital Theatre, one of two movie theatres in North Bay at the time. Years later after World War Two broke out, Nelson played an important role in the nine national Victory Loan Drives (1941-1945). Acting as chairman of public relations, Nelson served on the Nipissing District National War Finance Committee. His duties included organizing parades, corresponding with the local North Bay Daily Nugget Newspaper, and hosting occasional free movie admission nights for residents who purchased bonds. During the Sixth Victory Loan Drive in May 1944, Nelson and his employees at the Capital Theatre were awarded a coveted flag on behalf of the National War Finance Committee in Ottawa. The entire staff at the theatre, under Nelson's management, had subscribed 15% their payroll during the four-week drive. In accordance with the Sixth Victory Loan drive promotions, any company within Canada that subscribed 15% of payroll finances to bond purchases were awarded the Victory Loan V-Flag in recognition. The V-Flag was subsequently hung in the lobby of the Capital Theatre."
5631,Chijic,The Chijic is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Săcădat.
5632,Mnierea,The Mnierea is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Aleșd. It s length is and it s basin size is.
5633,Drăgan (Crișul Repede),The Drăgan is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Poieni. It s length is and it s basin size is.
5634,Izvor (Crișul Repede),The Izvor is a right tributary of the river Crișul Repede in Romania. It flows into the Crișul Repede near Aleșd. It s length is and it s basin size is.
5635,Bistricioara (Siret),"The Bistricioara is a right tributary of the river Bistrița in Romania, which it joins at the upper end of Lake Izvorul Muntelui. It flows through the villages Bilbor, Capu Corbului, Corbu, Tulgheș, Bradu, Grințieș and Bistricioara. Upstream from its confluence with the Borcut, it is also called"" Răcila"". It s length is and it s basin size is."
5636,Sărand,The Sărand is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Fughiu.
5637,Călata,The Călata is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Bologa. It s length is and it s basin size is.
5638,Brătcuța,The Brătcuța is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Bratca. It s length is and it s basin size is.
5639,Semeni,The Semeni is a right tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Negreni. It s length is and it s basin size is.
5640,Cropandă,The Cropandă is a left tributary of the river Crișul Repede in Romania. It discharges into the Crișul Repede near Tileagd. It s length is and it s basin size is.
5641,Empties,"Empties is a 2007 film directed by Jan Svěrák and written by his father Zdeněk Svěrák, who also stars in the film. It was released first in the Czech Republic in March 2007. The film is a comedy from the same team which made Kolya."
5642,Single Video Theory,"Single Video Theory is a music documentary directed by Mark Pellington that follows the making of ""Yield"", the fifth album by the American alternative rock band Pearl Jam. It was released first on VHS on August 4, 1998, and then on DVD on November 24, 1998."
5643,The Legend of God's Gun,The Legend of God's Gun is a 2007 American independently produced film celebrating the tradition of western films and the spirit of Rock and Roll. The film is actually based on the psychedelic Western album of the same name by the band Spindrift — the album having preceded the production of the film by a number of years.
5644,The Wonderful World of Captain Kuhio,The film was released in Japan on 10 October 2009.
5645,Invasion of the Neptune Men,"The film was released in 1961 in Japan and was later released in the United States on television. In 1998, the film was featured on an episode of"" Mystery Science Theater 3000""."
5646,Rakka (film),The film was released on YouTube and Steam on 14 June 2017.
5647,Bommalattam (2008 film),"Bommalattam is a 2008 Indian Tamil film directed by Bharathiraja starring Arjun Sarja and Nana Patekar in the lead roles. Originally filmed in Hindi under the title"" Cinema"", the film was released first in Tamil. Hindi version retitled"" Final Cut of Director"" had a limited release in 2016. This marked Nana Patekar's Tamil film debut."
5648,God's Gun,"God's Gun( also known as Diamante Lobo) is a 1976 Italian – Israeli Spaghetti Western filmed in Israel directed by Gianfranco Parolini( credited as Frank Kramer) and starring Lee Van Cleef, Jack Palance, Leif Garrett and Sybil Danning. Palance plays the head of a malicious group of bandits and Van Cleef plays a double- role of brothers: a priest and a reformed gunfighter determined to stop them. Leif Garrett plays the main character in the film as Johnny, a fatherless kid who brings the reformed gunfighter to town."
5649,Yuvaraju,"Yuvaraju( English: Young Prince) is a 2000 Telugu language romantic drama film directed and produced by Y. V. S. Chowdary. The film stars Mahesh Babu, Simran and Sakshi Shivanand. This film gave Mahesh Babu the tag"" Prince"", as"" Yuvaraju"" means prince. The film was dubbed in Hindi as"" Ek Aur Rajkumar""."
5650,Coney Island Baby (film),"Coney Island Baby is a 2003 comedy- drama in which film producer Amy Hobby made her directorial debut. Karl Geary wrote the film and Tanya Ryno was the film's producer. The music was composed by Ryan Shore. The film was shot in Sligo, Ireland, which is known locally as"" Coney Island"". The film was screened at the Newport International Film Festival. Hobby won the Jury Award for"" Best First Time Director"". The film made its premiere television broadcast on the Sundance Channel."
5651,Thulasi (1987 film),"Thulasi is a 1987 Tamil romantic drama film directed by Ameerjan. The film features Murali and Seetha in lead roles. The film, produced by P. S. V. Hariharan, had musical score by Sampath Selvam and was released on 27 November 1987. The music director died before the release of the film."
5652,Querelle,"Querelle is a 1982 West German- French English- language drama film directed by Rainer Werner Fassbinder and starring Brad Davis, adapted from French author Jean Genet's 1947 novel"" Querelle of Brest"". It marked Fassbinder's final film as a writer/ director; it was posthumously released just months after the director died of a drug overdose in June 1982."
5653,Young Sinners (1958 film),"Young Sinners is a 1958 French- Italian film directed by Marcel Carné. Jean Paul Belmondo appears in one of his earliest roles. The movie was a massive box office hit in France, with admissions of 4,953,600."
5654,Álvaro Pires de Castro,"Álvaro Pires de Castro( c. 1310 – 11 June 1384 in Lisbon) was a powerful Galician- Portuguese nobleman, stem of the Portuguese branch of the House of Castro. He was the first Count of Viana( da Foz do Lima), the first Count of Arraiolos and the first Constable of Portugal."
5655,The Great Love (1969 film),The Great Love is a 1969 French comedy film directed by Pierre Étaix. It was entered into the 1969 Cannes Film Festival.
5656,Count Dracula's Great Love,"Count Dracula's Great Love (originally El gran amor del conde Drácula) is a 1974 Spanish film directed by Javier Aguirre. The film is also known as Cemetery Girls (American reissue title), Dracula's Great Love (American promotional title), Dracula's Virgin Lovers (UK and Canadian theatrical title) and The Great Love of Count Dracula (international English title). Contrary to some sources, this film was never released under the title Vampire Playgirls."
5657,Young Sinners,"Young Sinners is an American Pre- Code drama film released on May 17, 1931, directed by John G. Blystone. The screenplay was initially written by Maurine Watkins though the script filmed was William Conselman's, not Watkins'. ( Watkin's script is in the archives of 20th Century Fox's produced scripts). Conselman scrapped her screenplay in favor of his own( adaptation, continuity and dialog, according to American Film Institute) based on the play"" Young Sinners"" by Elmer Harris( New York, November 28, 1929)."
5658,Javier Aguirre (director),"Javier Aguirre Fernández( 13 June 1935 – 4 December 2019) was a Spanish film director, writer and producer."
5659,John G. Blystone,"John G. Blystone( December 2, 1892 – August 6, 1938) was an American film director. He directed 100 films between 1915 and 1938. He was born in Rice Lake, Wisconsin and died in Los Angeles, California from a heart attack. His grave is located at Valhalla Memorial Park Cemetery."
5660,Le Masque de la Méduse,"Le masque de la Méduse is a 2009 fantasy horror film directed by Jean Rollin. The film is a modern-day telling of the Greek mythological tale of the Gorgon and was inspired by the 1964 classic Hammer Horror film of the same name and the 1981 cult classic"" Clash of the Titans"". It was Rollin's final film, as the director died in 2010."
5661,C. M. Stephen,"C. M. Stephen( 23 December 1918 – 16 January 1984) was an Indian politician and Union Minister in the Republic of India. C. M. Stephen was born on 23 December 1918 to Eapen Mathai and Esther of Chembakassery house in Cherukole, Mavelikkara. During his school days, Stephen was active in the Balajanasakhyam( promoted by Malayala Manorama). This helped him to develop leadership qualities, oratorial and organizing skills. After completing B. L., Stephen started his career as a journalist. He also started' Pouraprabha' an evening daily. Through this daily, he supported the Travancore Congress and attacked the rule of C. P. Ramaswamy Iyer. In 1949, he gave up his career as a journalist and started practising law. In 1951, he joined active politics and in the same year became the D.C.C. president of Kollam. He was a close associate of veteran Congress leaders P.T. Chacko, Pattom Thanu Pillai and R. Sankar and provided leadership in the Vimochana Samaram during 1958- 59 period as an associate of P. T. Chacko, Pattom Thanu Pillai, R. Sankar and others. He was also one of the founding fathers of Indian National Trade Union Congress, the trade union wing of the Indian National Congress. He won the State elections in 1960, 1965 and 1971. He was also elected as a Member of Parliament from Idukki in the 1976 parliamentary elections. He was a close aide of then Prime Minister Indira Gandhi. He was the leader of the Congress Parliamentary Party- Indira faction during 1978- 79. C. M. Stephen also served in the Union Cabinet under Indira Gandhi, most notably as the Union Minister for Communications. Shashi Tharoor in his' India: From Midnight to the Millennium' quotes Stephen's statement in Parliament that"" the telephone was a luxury and not a necessity"" as symptomatic of India's failure to invest in infrastructure and communications before the Reforms of 1991. Dharam Singh gave up the Gulbarga Lok Sabha seat to accommodate C. M. Stephen, the then Union Home Minister in the Indira Gandhi Cabinet, after he lost the election in Delhi to Atal Bihari Vajpayee. C. M. Stephen was buried at St. Mary Orthodox Cathedral, Mavelikkara."
5662,P. P. Ummer Koya,"Parappil Puthiyapurayil Ummer Koya (1 July 1922 – 1 September 2000) was an Indian politician, Gandhian, freedom fighter and educationist. He was the second Education Minister of Government of Kerala headed by Pattom Thanu Pillai. He also served as the Minister for Public Works in government headed by R. Sankar."
5663,Francesco Tontori,"Francesco Tontori, C.R.S. or Francesco Tontolo( died 1663) was a Roman Catholic prelate who served as Bishop of Ischia( 1638 – 1663)."
5664,Edward Francis Burney,"Edward Francis Burney( 1760 – 1848) was an English artist. His middle name is sometimes given as"" Francisco"" or"" Francesco""."
5665,Vittorio Siri,Vittorio Siri or Francesco Siri( 1608 – 1685) was an Italian mathematician and a monk.
5666,P. T. Thanu Pillai,P. T. Thanu Pillai was an Indian politician and former Member of Parliament elected from Tamil Nadu. He was elected to the Lok Sabha from Tirunelveli constituency as an Indian National Congress candidate in 1951 and 1957 elections.
5667,Francesco Boccapaduli,"Francesco Boccapaduli( 3 April 1600 – 23 November 1680) was a Roman Catholic prelate who served as Titular Archbishop of"" Athenae""( 1675 – 1680), Apostolic Nuncio to Venice( 1652 – 1654), Apostolic Nuncio to Switzerland( 1647 – 1652), Bishop of Città di Castello( 1647 – 1672), and Bishop of Valva e Sulmona( 1638 – 1647)."
5668,Pattom A. Thanu Pillai,"Pattom Thanu Pillai( 15 July 188527 July 1970) was a participant in the Indian independence movement who later served as the Chief Minister of Kerala from 22 February 1960 to 25 September 1962. He was known as the' Bhishmacharya' of Kerala politics. Born in Thiruvananthapuram, A. Thanu Pillai was the son of Varadayyan and Eswari Amma. Thanu Pillai completed his studies and earned a degree in law. He had practised as a lawyer as well. But soon he got attracted towards Indian Freedom Struggle movement and abandoned his career in favour of involvement in the struggle and joined the Indian National Congress. He became the leader of Indian National Congress in the erstwhile princely state of Travancore. Pattom Thanu Pillai remained as one of the leaders of Indian National Congress during the period when Kingdom of Tranvancore became an Independent state and later merged with Cochin to form Travancore- Cochin. On 3 June 1947, United Kingdom accepted demands for a partition and announced its intention to quit India within a short period. The Maharaja of Travancore desired to declare himself independent. Supported by the then Diwan, C. P. Ramaswami Iyer, Chithira Thirunal issued a declaration of independence on 18 June 1947. As Travancore's declaration of independence was unacceptable to India, negotiations were started with the Diwan by the Government of India. Family sources indicate that C. P., himself, was not in favour of independence but only greater autonomy and that a favourable agreement had been reached between C. P. and the Indian representatives by 23 July 1947 and accession to the Indian Union could not be carried out only because it was pending approval by the Raja. Nevertheless, an assassination attempt was made on C. P. on 25 July 1947 during a concert commemorating the anniversary of Swati Thirunal. C. P. survived with multiple stab wounds and hastened the accession of Travancore state to the Indian Union soon after his recovery. After the accession of Travancore state to the Indian Union, P. G. N. Unnithan took over as the last Diwan of independent Travancore on August 20, 1947 following C. P. Ramaswami Iyer resigning as Diwan( subsequent to the attempt on Sir CP's life at the"" Swathi Thirunal Music academy"" on July 25, 1947). P. G. N. Unnithan chaired the Travancore Constitutional Reforms Committee. He relinquished office on March 24, 1948 when a people's government led by Sri Pattom Thanu Pillai as Prime Minister took over. Pattom Thanu Pilla was the first Prime Minister of Independent Travancore state. He resigned as Prime Minister of Tranvacore on 17 October 1948. He was succeeded by Parur T. K. Narayana Pillai as the second and last Prime Minister of Travancore. After India's independence in 1947, Travancore and Cochin were merged to form Travancore- Cochin on 1 July 1949. It was originally called United State of Travancore and Cochin with Trivandrum as the capital. It was renamed State of Travancore- Cochin in January 1950 and was recognised as a state. During merger of Travancore and Cochin E. Ikkanda Warrier was the Prime Minister of the state of Cochin. Warrier resigned as the last Prime Minister of the state of Cochin on 30 June 1949 helping the merger of the two states. Parur T. K. Narayana Pillai was unanimously elected the leader of the Congress Legislature Party and he assumed charge as the first Chief Minister of Travancore- Cochin from 1 July 1949. First Ministry of the state of Travancore- Cochin headed by Parur T. K. Narayana Pillai resigned on 24 February 1951 following a corruption charge on the ministry. He was succeeded by C. Kesavan as the second Chief Minister of Travancore- Cochin. The first assembly of the state of Travancore- Cochin was dissolved on 12 March 1952 following the resignation of C Kesavan. Following the elections to the Legislative Assembly of the held on March 27, 1952 A. J. John became the third Chief Minister of Travancore- Cochin. The second assembly of Travancore- Cochin lasted till 16 March 1954. By that time Pattom Thanu Pillai left Indian National Congress and joined Praja Socialist Party( PSP). In the election for the third Legislative Assembly of Travancore- Cochin held in 1954, Praja Socialist Party won 19 seats out of the contested 38 seats. Praja Socialist Party formed a coalition government along with the Indian National Congress who had won 45 seats. Pattom Thanu Pillai became the fourth Chief Minister of Travancore- Cochin with the support of Indian National Congress on 16 March 1954. He resigned on 10 February 1955 and was succeeded by Panampilly Govinda Menon as the last Chief Minister of Travancore- Cochin. He remained in office till 23 March 1956. After that the state remained under President's rule till 5 April 1957. During this time state of Kerala was formed. Under State Reorganisation Act of 1956, the four southern taluks of Travancore, namely Thovalai, Agasteeswaram, Kalkulam and Vilavancode and a part of the Chencotta Taluk was merged with Madras State. On 1 November 1956 Travancore- Cochin was joined with Malabar District of Madras State, the taluk of Kasaragod and South Kanara to form the new state of Kerala. After the first ever elections to the Kerala Legislative Assembly in 1957, the Communist Party of India emerged as the single largest party. E M S Namboodiripad formed the first elected government with the support of 5 independent legislators. The government was not able to complete its full 5 years term. The Communist- led government collapsed as a consequence of the movement known as the"" Vimochana Samaram""( Liberation Struggle). The Communist government was dismissed on 31 July 1959 and President's rule was imposed in the state, under Article 356 of the constitution. Fresh Elections were held in 1960 and Pattom A. Thanu Pillai became the second Chief Minister of Kerala, as head of a PSP- Congress coalition administration. He assumed office on 22 February 1960. However, he resigned as chief minister of Kerala on 26 September 1962 to make way for R. Sankar of the Indian National Congress as the next Chief Minister of the state. He was appointed as Governor of Punjab on 1 October 1962 by the Central Government headed by Jawaharlal Nehru. Later he became Governor of Andhra Pradesh on 4 May 1964 and remained in office till 11 April 1968. Two years after resigning as Governor of Andhra Pradesh Pattom Thanu Pillai died on 27 July 1970."
5669,Francisco Leontaritis,"Francisco Leontaritis or Francesco Londarit or Francesco Londarit, Franciscus Londariti, Leondaryti, Londaretus, Londaratus or Londaritus( 1518- 1572) was a Greek composer, singer and hymnographer from today's Heraklion of the Venetian- dominated Crete( Candia) at the Renaissance age. He is considered by many as the father of modern Greek classical music."
5670,Lodovico Centofiorini,Lodovico Centofiorini or Francesco Centofiorini( died 1651) was a Roman Catholic prelate who served as Bishop of Nicotera( 1650 – 1651).
5671,Panda (Astro song),""" Panda"" is a song of the Chilean band Astro and is the fifth song of the homonymous album of the year 2011. The song was composed and produced by the singer of the band Andrés Nusser and released like third single of the album on February 1, 2013."
5672,Kristian Leontiou,"Kristian Leontiou (born February 1982) is a British singer of Greek Cypriot descent, and is the singer for the indie rock band One eskimO."
5673,Bernie Bonvoisin,"Bernard Bonvoisin, known as Bernie Bonvoisin( born 9 July 1956 in Nanterre, Hauts- de- Seine), is a French hard rock singer and film director. He is best known for having been the singer of Trust. He was one of the best friends of Bon Scott the singer of AC/ DC and together they recorded the song"" Ride On"" which was one of the last songs by Bon Scott."
5674,Gloc-9,"Aristotle Pollisco (born October 18, 1977), known by his stage name Gloc-9, is a Filipino rapper, singer and songwriter. Regarded as one of the best Filipino rappers of all-time, his fast-flowing vocal style has made him one of the most successful hip-hop artists in the Philippines. He was described by fellow great Filipino rapper Francis Magalona as ""a blacksmith of words and letters, and a true Filipino poet."" He has collaborated on almost a dozen songs with other OPM artists; Lando with the late Francis M, Upuan with Jaezelle, Bagsakan with Parokya ni Edgar , Baon with Gab Chee Kee of Parokya ni Edgar and Francis M, and Sari-Saring Kwento with Noel Cabangon and Champ Lui Pio. His songs mostly tackle social issues such as social injustices, poverty and patriotism. He began his musical career with the gangsta rap group Death Threat. Gloc-9 is notably one of the few artists in the Philippine music scene who has won an award in every album he created."
5675,Billy Milano,"Billy Milano is a Bronx- born heavy metal musician now based in Austin, Texas. He is the singer and- occasionally- guitarist and bassist of crossover thrash band M.O.D., and he was also the singer of its predecessor, Stormtroopers of Death. He was also the singer of United Forces, which also featured his Stormtroopers of Death bandmate Dan Lilker."
5676,Caspar Babypants,"Caspar Babypants is the stage name of children's music artist Chris Ballew, who is also widely known as the singer of The Presidents of the United States of America."
5677,Astrid North,"Astrid North( Astrid Karina North Radmann; 24 August 1973, Berlin – 25 June 2019, Berlin) was a German soul singer and songwriter. She was the singer of the German band, with whom she released five Albums. As guest singer of the band she published three albums."
5678,Dáithí Sproule,Dáithí Sproule( born 23 May 1950) is a guitarist and singer of traditional Irish music. His niece is the singer Claire Sproule.
5679,O Valencia!,""" O Valencia!"" is the fifth single by the indie rock band The Decemberists, and the first released from their fourth studio album,"" The Crane Wife"". The music was written by The Decemberists and the lyrics by Colin Meloy. It tells a story of two star- crossed lovers. The singer falls in love with a person who belongs to an opposing gang. At the end of the song, the singer's lover jumps in to defend the singer, who is confronting his lover's brother( the singer's"" sworn enemy"") and is killed by the bullet intended for the singer."
5680,Pareho Tayo,Pareho Tayo (We Are the Same) is a song written and performed by Gloc-9. It was released independently and is currently available in digital format (free download) through SoundCloud account of the artist.
5681,"Blanche of Navarre, Countess of Champagne","Blanche of Navarre( ?–1229) was countess and then regent of Champagne and finally also regent of her native kingdom of Navarre. She was the youngest daughter of Sancho VI of Navarre and Sancha of Castile, who died in 1179, about two years after Blanche's birth. Her eldest brother, Sancho VII of Navarre, succeeded their father as King of Navarre and was the last male descendant of the first dynasty of Kings of Navarre, the Pamplona dynasty, dying childless. Her elder sister Berengaria of Navarre married Richard I of England."
5682,Blanche II of Navarre,"Blanche II( 9 June 1424 – 2 December 1464), titular queen of Navarre, was the daughter of John II of Aragon and Blanche I of Navarre. She was also Princess of Asturias by marriage."
5683,"Charles, Prince of Viana","Charles, Prince of Viana( 29 May 1421 – 23 September 1461), sometimes called Charles IV of Navarre, was the son of King John II of Aragon and Queen Blanche I of Navarre."
5684,"Isabella of Navarre, Viscountess of Rohan","Isabel d' Albret of Navarre( 1512–1555) was the daughter of John III of Navarre( died 1516) and Catherine I of Navarre, sister and heiress of Francis Phoebus, King of Navarre. As heir apparent, her brother rose to the throne in 1517 as Henry II of Navarre, grandfather of King Henry III of Navarre( Henry IV of France)."
5685,"Beatrice of Navarre, Countess of La Marche","Beatrice of Navarre( 1392-1412/1415) was a daughter of Charles III of Navarre and his wife, Eleanor of Castile."
5686,Sancho III of Castile,"Sancho III (1134 – 31 August 1158), called the Desired (""el Deseado""), was King of Castile and Toledo for one year, from 1157 to 1158. He was the son of Alfonso VII of León and Castile and his wife Berengaria of Barcelona, and was succeeded by his son Alfonso VIII. His nickname was due to his position as the first child of his parents, born after eight years of childless marriage. During his reign, the castle of Calatrava-la-Vieja was conceded to Abbot Raymond Serrat of Fitero, who proposed using the lay brothers of his monastery as knights to defend this castle. These knights would give rise to the Order of Calatrava, which was confirmed in 1164 by Pope Alexander III. It was also in his reign that the Leonese and Castilian spheres of conquest against al-Andalus were decided in the Treaty of Sahagún (May 1158), besides an exclusion of the conquering rights and a possible division of the Portuguese kingdom among the two sons of Alfonso VII, which would come to nothing possibly due to the premature death of Sancho."
5687,"René I, Viscount of Rohan","René I de Rohan,( 1516–1552) 18th Viscount of Rohan, Viscount and Prince de Léon, and Marquis de Blain married Isabella of Navarre daughter of jure uxoris King John III of Navarre and Catherine of Navarre, Queen of Navarre."
5688,"Blanche of Navarre, Duchess of Brittany","Blanche of Navarre( 1226 – 12 August 1283), also known as Blanche of Champagne, was the daughter of Theobald the Troubador, King of Navarre and Count of Champagne, and his second wife Agnes of Beaujeu. She was a member of the House of Champagne. By her marriage to John I, Duke of Brittany, she became Duchess consort of Brittany."
5689,"Blanca of Navarre, Queen of Castile","Blanca of Navarre ( aft. 1133, Laguardia, Álava – August 12, 1156) was Queen of Castile, the daughter of King García Ramírez of Navarre and his first wife Margaret of L'Aigle. Blanca married Sancho III of Castile, regent of Castile (subject to his father Alfonso VII) on February 4, 1151 in Carrión de los Condes, Palencia, after travelling from Calahorra, Logroño, in January. The marriage was arranged to insure closer ties between León-Castile and Navarre. As was traditional, Blanca confirmed documents with her husband, so her activity may be traced until 1155. On November 11, 1155 she gave birth to the future king Alfonso VIII. There appears to be no record of her activities after December 1155, and she died on August 12, 1156. The cause of her death seems to have been complications of a new pregnancy, a child named García. In addition, she had other children buried in the church of San Pedro in Soria, although they are not identified. That her death was caused by a pregnancy is recorded in an epitaph engraved on her tomb, however, the engraving did not survive a sixteenth-century reconstruction of the royal tombs in Nájera. Her sarcophagus lid was preserved, and it represents the queen's deathbed with members of the court, including her husband, mourning her passing. Blanca was buried in the pantheon of the Navarrese kings in the monastery called Santa María la Real of Nájera, to which Sancho made donations on her behalf. The sarcophagus of the queen is regarded as a primary example of the ability to express human emotions in visual images in the 12th century. Blanca and Sancho had two named sons:"
5690,Joan of Navarre (regent),"Joan of Navarre( 1382 – July 1413) was the heir presumptive to the throne of Navarre in 1402 – 1413, and regent of Navarre in the absence of her father in 1409 – 1411. She was the eldest child of King Charles III of Navarre by his wife Eleanor, daughter of King Henry II of Castile."
5691,Balian of Ibelin,"Balian of Ibelin( 1143 – 1193), also known as Barisan the Younger, was a crusader noble of the Kingdom of Jerusalem in the 12th century."
5692,Helvis of Ibelin,"Helvis of Ibelin( after 1178 – before 1 June 1216) was a daughter of Balian of Ibelin and his wife, Maria Komnene, who was the dowager Queen of Jerusalem. Helvis was a member of the House of Ibelin. She was Lady of Sidon by her first and second marriage."
